dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_recall,train_recall,test_recall_at_wloss,train_recall_at_wloss,test_prec,train_prec,test_spec_at_wloss,train_spec_at_wloss,test_f1,train_f1,test_ent,train_ent,test_wloss,train_wloss,train_conservative_wloss5,test_conservative_wloss5,train_conservative_wloss10,test_conservative_wloss10,train_conservative_wloss20,test_conservative_wloss20,train_conservative_wloss50,test_conservative_wloss50,train_conservative_wloss80,test_conservative_wloss80,train_conservative_wloss90,test_conservative_wloss90,train_conservative_wloss95,test_conservative_wloss95,train_conservative_wloss99,test_conservative_wloss99,stage,clf_variant
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",3.6813278198242188,0.021643638610839844,0.8737373737373737,0.8792029887920298,0.6913591867469879,0.6750426642573909,0.8523155120481928,0.8837148019876525,-0.09652636707182681,-0.08538126303246213,0.421875,0.3879310344827586,0.90625,0.9137931034482759,0.675,0.6338028169014085,0.6596385542168675,0.653566229985444,0.5192307692307693,0.48128342245989303,0.41800870709670235,0.41066709081427,0.43686868686868685,0.42092154420921546,,,,,,,,,,,,,,,,,,
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.5,0.5,-0.13579070950137215,-0.12359008636984889,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958011882707064,0.5958011882707064,0.8383838383838383,0.8555417185554172,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.0,
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.5,0.5,-0.13579070950137215,-0.12359008636984889,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958011882707064,0.5958011882707064,0.8383838383838383,0.8555417185554172,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.0,logreg
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.5,0.5,-0.13579070950137215,-0.12359008636984889,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958011882707064,0.5958011882707064,0.8383838383838383,0.8555417185554172,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.0,logreg_unregularized
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.7056664156626505,0.7047633388545902,-0.11629957050402723,-0.10516406559392091,0.0,0.0,0.546875,0.5172413793103449,0.0,0.0,0.8644578313253012,0.8922852983988355,0.0,0.0,0.5316684661228076,0.5113924439742494,0.8459595959595959,0.7895392278953923,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,0.8555417185554172,0.8383838383838383,1.0,
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.7056664156626505,0.7047633388545902,-0.11625253669015403,-0.10521218023799452,0.0,0.0,0.546875,0.5172413793103449,0.0,0.0,0.8644578313253012,0.8922852983988355,0.0,0.0,0.5391195349975162,0.5194052673435879,0.8459595959595959,0.7895392278953923,,,,,,,,,,,,,,,,,1.0,logreg
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8383838383838383,0.8555417185554172,0.5,0.5,0.7056664156626505,0.7047633388545902,-0.116300756098804,-0.10516405402683471,0.0,0.0,0.546875,0.5172413793103449,0.0,0.0,0.8644578313253012,0.8922852983988355,0.0,0.0,0.5317143482336104,0.5114360864198091,0.8459595959595959,0.7895392278953923,,,,,,,,,,,,,,,,,1.0,logreg_unregularized
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8667496886674969,0.7078313253012047,0.7107551573558198,0.7575301204819276,0.7754166039251116,-0.10960359329359537,-0.09792033492597169,0.5,0.49137931034482757,0.9375,0.9655172413793104,0.5333333333333333,0.5428571428571428,0.3132530120481928,0.3173216885007278,0.5161290322580645,0.5158371040723982,0.48358008850397327,0.47221111126202137,0.6767676767676768,0.6338729763387297,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,0.6338729763387297,0.6767676767676768,2.0,
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8667496886674969,0.7078313253012047,0.7107551573558198,0.7604480421686747,0.7743688199568339,-0.10955788213705873,-0.09810339703562661,0.5,0.49137931034482757,0.9375,0.9655172413793104,0.5333333333333333,0.5428571428571428,0.3132530120481928,0.3173216885007278,0.5161290322580645,0.5158371040723982,0.49903511244667054,0.48687381410433195,0.6767676767676768,0.6338729763387297,,,,,,,,,,,,,,,,,2.0,logreg
thorax,50,"{'score_set': '(-3, -2, -1, 1, 2, 3)', 'lookahead': '1', 'method': 'bisect', 'stage_clf_params': ""('calibration_method', 'beta_reg')""}",psl,"(-3, -2, -1, 1, 2, 3)",1,bisect,"('calibration_method', 'beta_reg')",,,0.8484848484848485,0.8667496886674969,0.7078313253012047,0.7107551573558198,0.7604480421686747,0.7743688199568339,-0.10959100897418078,-0.09793290748079748,0.5,0.49137931034482757,0.9375,0.9655172413793104,0.5333333333333333,0.5428571428571428,0.3132530120481928,0.3173216885007278,0.5161290322580645,0.5158371040723982,0.4838750350061277,0.47233574740245104,0.6767676767676768,0.6338729763387297,,,,,,,,,,,,,,,,,2.0,logreg_unregularized
