dataset,fold,params,clf,score_set,lookahead,method,stage_clf_params,fit_time,score_time,test_acc,train_acc,test_bacc,train_bacc,test_roc,train_roc,test_brier,train_brier,test_ent,train_ent,test_wloss,train_wloss,stage,clf_variant
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",270.2686290740967,0.003574371337890625,0.5897435897435898,0.935064935064935,0.6166666666666667,0.9344594594594595,0.6458333333333333,0.964527027027027,-0.36463707527507144,-0.05683229813664596,0.30315351886815756,0.28571513253617326,0.7692307692307692,0.24675324675324675,,
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.5194805194805194,0.5,0.5,0.5,0.5,-0.24588398614372628,-0.2496205093607691,0.9989047442823611,0.9989047442823603,0.6153846153846154,0.5194805194805194,0.0,
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.6623376623376623,0.5083333333333333,0.6486486486486487,0.5083333333333333,0.6486486486486487,-0.32907160179887457,-0.2046438410074774,0.7192704766528188,0.8291098105259095,0.6153846153846154,0.5194805194805194,1.0,
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.6363636363636364,0.48333333333333334,0.6347972972972973,0.39166666666666666,0.6189189189189189,-0.2868966957230442,-0.238684108571194,0.9566986621533982,0.9681704146363548,0.6153846153846154,0.5194805194805194,1.0,logreg
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",,,0.38461538461538464,0.6753246753246753,0.4875,0.6875,0.49861111111111106,0.7804054054054055,-0.35439032324845476,-0.16552075375604788,0.6921156790657433,0.6621539613572696,0.8461538461538461,0.3246753246753247,2.0,
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.7012987012987013,0.6,0.6993243243243243,0.6888888888888889,0.7736486486486487,-0.21185117507531367,-0.19222585741693426,0.8539733131898981,0.8016990894990563,0.5384615384615384,0.42857142857142855,2.0,logreg
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",,,0.48717948717948717,0.8181818181818182,0.48333333333333334,0.8118243243243244,0.525,0.8807432432432433,-0.4129210827901706,-0.1216874341874342,0.544092702144913,0.5195012888441742,0.8461538461538461,0.3246753246753247,3.0,
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",,,0.6410256410256411,0.8051948051948052,0.6333333333333333,0.8054054054054054,0.6361111111111112,0.8304054054054054,-0.25553239392525157,-0.1596341456055556,0.7500124909302351,0.7042216330056444,0.7692307692307692,0.4025974025974026,3.0,logreg
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",,,0.5641025641025641,0.8961038961038961,0.6333333333333333,0.8969594594594594,0.6236111111111112,0.9266891891891892,-0.33980727699162044,-0.08849862258953169,0.48966376523409866,0.42838098920257306,0.8461538461538461,0.37662337662337664,4.0,
42900,7,"{'score_set': (-3, -2, -1, 1, 2, 3), 'lookahead': 2, 'method': 'bisect', 'stage_clf_params': ('calibration_method', 'isotonic')}",psl,"(-3, -2, -1, 1, 2, 3)",2,bisect,"('calibration_method', 'isotonic')",,,0.6153846153846154,0.8051948051948052,0.6,0.8054054054054054,0.6833333333333333,0.8358108108108108,-0.23796512704177436,-0.1560951202950583,0.717145901867573,0.6862645363405296,0.7948717948717948,0.38961038961038963,4.0,logreg
